game_date,game_length,game_template,game_version,tournament_id,owner_id,p1_rating,p1_fraction,p1_hero_start,p_1_hero_main,p1_rating_change,p2_id,p2_rating,p2_hero_main,p2_hero_start,p2_fraction,p2_rating_change,game_result
2017-04-09,136,4,1,65,28755,1739,3,47,71,20,36344,1846,117,117,8,-20,2
2017-04-17,125,4,1,65,36344,1826,3,45,18,6,35738,1565,130,100,7,-6,2
2017-04-19,217,8,1,65,36344,1832,2,25,25,12,40400,1744,73,54,4,-12,2
2017-04-21,137,8,1,65,36344,1844,8,114,84,1,34306,1435,78,47,3,-1,2
2017-04-24,113,8,1,65,36344,1845,2,25,25,2,10001,1494,68,2,1,-2,2
2017-05-02,216,8,1,65,36344,1847,2,25,25,10,39240,1686,111,140,9,-10,2
2017-05-03,134,8,1,65,43065,1574,3,47,47,27,36344,1857,25,25,2,-27,2
2017-05-03,147,8,1,65,36344,1830,4,54,76,4,35750,1535,69,2,1,-4,2
2017-05-03,116,8,1,65,28655,,6,87,87,,36344,,108,108,7,,2
2017-05-04,126,8,1,65,30243,1680,6,89,87,22,36344,1834,72,55,4,-22,2
2017-05-05,131,8,1,65,36344,1812,8,117,104,11,39240,1687,145,139,9,-11,2
2017-05-06,126,8,1,65,36344,1823,3,47,69,12,40400,1726,73,133,9,-12,2
2017-05-10,217,8,1,73,34226,1634,6,87,89,24,36344,1835,120,54,4,-24,2
2017-05-14,212,8,1,65,36344,1811,6,87,87,5,37639,1539,47,47,3,-5,2
2017-05-18,125,8,1,65,28755,1837,9,140,140,15,36344,1816,47,47,3,-15,2
2017-05-22,211,8,1,65,36344,1801,7,108,108,9,43065,1615,89,89,6,-9,2
2017-06-07,226,10,1,73,36344,1810,3,47,25,10,34226,1654,78,78,5,-10,2
2017-06-10,134,10,1,73,30036,1828,4,55,111,16,36344,1820,108,108,7,-16,2
2017-06-11,117,4,1,82,29179,1661,5,73,73,22,36344,1804,25,25,2,-22,2
2017-06-11,132,8,1,82,36344,1782,2,25,25,8,40039,1571,145,52,4,-8,2
2017-06-16,215,8,1,82,36344,1790,6,89,89,9,44090,1603,47,47,3,-9,2
2017-06-19,131,8,1,82,36344,1799,9,143,70,2,25200,1453,55,55,4,-2,2
2017-06-19,132,8,1,82,36344,1801,8,114,114,2,25200,1451,89,89,6,-2,2
2017-06-22,127,4,1,82,36914,1708,9,135,141,20,36344,1803,89,89,6,-20,2
2017-06-25,143,8,1,82,36344,1783,2,25,25,7,44090,1552,47,47,3,-7,2
2017-06-27,144,10,1,73,22627,1623,6,89,89,23,36344,1790,78,78,5,-23,2
2017-07-03,126,8,1,82,36344,1767,2,25,25,18,30588,1822,9,56,4,-18,2
2017-07-03,126,8,1,82,36344,1785,8,114,69,10,35529,1646,108,108,7,-10,2
2017-07-07,145,8,1,82,36344,1795,6,89,87,9,47900,1625,57,52,4,-9,2
2017-07-08,121,8,1,82,36344,1804,3,47,78,8,47900,1616,117,117,8,-8,2
2017-07-09,141,8,1,82,35769,1827,4,54,108,15,36344,1812,9,47,3,-15,2
2017-07-10,141,8,1,82,37002,1505,3,37,37,-4,36344,1797,108,149,10,4,3
2017-07-13,123,8,1,82,37002,1484,8,117,117,-3,36344,1801,78,108,7,3,3
2017-07-16,211,8,1,82,28655,1870,6,87,87,13,36344,1804,108,108,7,-13,2
2017-07-18,144,8,1,82,36344,1791,6,89,89,11,52476,1666,9,55,4,-11,2
2017-07-20,223,8,1,82,36344,1802,8,114,73,10,47900,1647,138,138,9,-10,2
2017-07-21,127,4,1,82,40400,1773,1,4,136,18,36344,1812,111,129,8,-18,2
2017-07-22,214,8,1,82,36344,1794,9,145,72,10,47900,1637,136,49,3,-10,2
2017-07-22,137,8,1,82,21201,1681,9,136,89,21,36344,1804,87,2,1,-21,2
2017-07-22,126,8,1,82,21201,1702,6,89,145,19,36344,1783,25,25,2,-19,2
2017-07-22,117,8,1,82,21201,1721,1,2,81,18,36344,1764,76,138,9,-18,2
2017-07-24,121,8,1,82,36344,1746,3,47,73,10,33876,1608,89,89,6,-10,2
2017-07-24,125,8,1,82,33876,1617,6,89,89,22,36344,1756,108,108,7,-22,2
2017-07-25,213,8,1,82,36344,1734,8,114,117,6,25200,1489,25,25,2,-6,2
2017-07-26,121,8,1,82,36344,1740,4,55,104,8,37002,1533,89,89,6,-8,2
2017-07-29,121,8,1,82,37002,1518,2,25,25,-7,36344,1748,108,108,7,7,3
2017-07-30,145,8,1,82,37002,1511,3,37,37,-6,36344,1755,114,114,8,6,3
2017-07-31,132,8,1,82,40400,1781,9,138,138,15,36344,1761,69,47,3,-15,2
2017-08-05,126,8,1,82,36541,1791,6,89,89,14,36344,1746,47,47,3,-14,2
2017-08-06,217,8,1,82,36344,1732,3,47,68,10,36988,1593,79,56,4,-10,2
2017-08-06,211,14,1,85,28680,1493,1,2,2,26,36344,1742,52,132,9,-26,2
2017-08-06,116,8,1,82,36344,1716,3,47,9,6,9498,1474,145,144,9,-6,2
2017-08-08,114,8,1,82,47900,1592,4,52,52,21,36344,1722,78,78,5,-21,2
2017-08-22,216,8,1,82,36344,1692,3,47,99,10,36988,1554,137,143,9,-10,2
2017-08-25,121,8,1,82,36344,1702,1,2,81,22,14751,1848,87,87,6,-22,2
2017-08-28,146,16,1,85,38612,1479,3,48,48,10,36344,1724,62,62,4,-10,1
2017-08-29,145,8,1,82,36344,1714,6,87,87,5,9498,1436,117,117,8,-5,2
2017-08-31,124,8,1,82,36344,1719,6,87,87,10,34523,1574,70,2,1,-10,2
2017-09-05,146,8,1,82,36344,1729,4,55,55,10,15190,1572,108,108,7,-10,2
2017-09-11,132,8,1,82,36344,1739,3,47,52,7,38612,1504,72,87,6,-7,2
2017-09-13,135,8,1,82,36344,1746,1,2,73,12,30960,1654,69,25,2,-12,2
2017-09-13,211,8,1,82,28330,1661,8,117,117,20,36344,1758,47,47,3,-20,2
2017-09-15,125,8,1,82,36344,1738,7,108,108,10,11683,1594,55,55,4,-10,2
2017-09-16,215,8,1,82,28330,1652,8,117,117,20,36344,1748,76,140,9,-20,2
2017-09-17,127,8,1,82,35529,1779,6,89,89,14,36344,1728,87,2,1,-14,2
2017-09-18,135,8,1,82,36344,1714,8,114,87,14,28330,1672,89,132,9,-14,2
2017-09-18,132,8,1,82,32857,1652,4,55,81,19,36344,1728,9,140,9,-19,2
2017-08-19,123,8,1,82,14751,1876,8,117,117,9,36344,1701,2,2,1,-9,2
2017-09-21,125,8,1,82,28330,1681,2,25,72,17,36344,1709,118,137,9,-17,2
2017-09-24,144,8,1,82,37002,1462,7,104,104,-7,36344,1692,17,17,1,7,3
2017-09-25,211,8,1,82,36344,1699,2,25,25,12,38475,1611,78,55,4,-12,2
2017-10-07,144,8,1,82,36344,1711,2,25,25,13,32166,1634,138,138,9,-13,2
2017-10-07,127,8,1,82,36344,1724,3,47,76,10,35326,1564,72,72,5,-10,2
2017-10-18,142,8,1,82,36344,1734,4,55,66,4,28680,1435,78,47,3,-4,2
2017-10-18,143,8,1,82,28680,1431,1,2,2,-4,36344,1738,25,25,2,4,3
2017-10-20,214,8,1,82,36344,1742,6,87,87,7,32166,1525,76,49,3,-7,2
2017-10-21,126,8,1,82,30243,1687,8,114,117,18,36344,1749,78,142,9,-18,2
2017-10-23,141,8,1,82,36344,1731,2,23,23,8,34306,1543,138,144,9,-8,2
2017-10-24,141,8,1,82,36344,1739,4,55,72,16,36750,1744,78,78,5,-16,2
2017-10-24,113,8,1,82,32857,1608,9,139,134,22,36344,1755,25,25,2,-22,2
2017-10-26,123,8,1,82,20238,1576,4,52,73,22,36344,1733,114,114,8,-22,2
2017-10-26,125,8,1,82,36344,1711,6,89,89,13,20238,1644,25,2,1,-13,2
2017-10-28,126,8,1,82,39835,1711,6,89,87,17,36344,1724,117,117,8,-17,2
2017-10-30,127,8,1,82,36344,1707,4,54,141,12,20238,1596,108,108,7,-12,2
2017-10-31,216,8,1,82,36344,1719,2,25,66,12,17304,1617,134,142,9,-12,2
2017-11-01,134,8,1,82,36344,1731,1,17,73,10,20238,1569,25,25,2,-10,2
2017-11-02,137,8,1,82,36344,1741,5,78,78,6,45582,1496,87,143,9,-6,2
2017-11-03,125,8,1,82,36344,1747,9,144,133,8,20238,1544,25,25,2,-8,2
2017-11-03,125,8,1,82,20238,1536,8,114,78,25,36344,1755,89,89,6,-25,2
2017-11-10,222,8,1,82,36344,1730,2,25,25,11,20238,1597,104,23,2,-11,2
2017-11-10,132,8,1,82,36344,1741,3,47,108,10,20238,1586,52,52,4,-10,2
2017-11-11,225,8,1,82,36344,1751,5,78,75,11,32166,1617,102,102,7,-11,2
2017-11-12,122,8,1,82,36344,1762,3,47,118,10,20238,1617,105,105,7,-10,2
